"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58272.5","62420.1","57664.8","57800.8","58285","61180","64899.8","64217.8","64669.9","63051.9","63532.3","67911.3","69367.9","74461.6","75795.8","76236.6","74099.3","71242.5","70729.7","64416.3","69960","68271.5","65107.1","65747","62048.9","63238.3","63684.5","65856.3","63061.9","64766.3","","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53483.7","52059.4","63614.1","48052.4","33515.3","32474.9","27193.3","26489.6","26490.5","26122.2","27687.2","26397.2","26177.6","28569.4","28311.9","30043.5","30488.4","27627.7","30447.6","25495.9","24311.9","27282.1","30110.7","30939.6","32243.4","31773.3","32239.3","31957","32728.1","35508","","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.8","215.1","184","193.3","193.5","199.7","206.2","209","215.6","228","256.3","200.3","208.1","164.4","152.8","154.3","178","181.6","185","182.2","304.7","361.89","366.25","386.52","375.52","401.65","443.65","525.74","685.12","720.72","","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109312.6","113960.1","112329.3","110108.3","114901.4","114568.7","119448.4","116634.7","119412.8","115514.5","117274.6","118339.8","110850.2","115502.1","114022.7","110610.8","108645.6","104587.3","106934.1","99666.1","106722.3","96482.2","95270","96586.3","90137.3","95131.8","94222.7","92723.8","93660.3","93008.5","","","",
"Benin","BEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.11","273.51","282.61","287.29","280.34","302.07","973.49","1236.54","1214.7","1340.5","1424.5","1735.1","2177.3","2443.2","2646.4","2899.6","3471.4","3998.2","4017.6","4417.2","4825.1","4652.6","4444.7","4676.4","5186.1","5505.6","6739","6874.2","7424.1","7300.3","","","",
"Burkina Faso","BFA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","501.8","511.3","517.5","530.1","542.8","566.82","633.4","690.65","757.62","887.59","941.13","965.53","964.03","1043.08","1055.04","1064.59","1240.48","1406.42","1700.6","1727.8","2293","2460.3","2944.5","3131.8","3176.7","3700.3","3703.5","4271","4670.2","5003.8","","","",
"Bangladesh","BGD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11523.73","10830.76","11823.48","12568.4","13543.45","16554.48","16825.3","18970.9","19249.5","20105.5","21650.8","25779","27434.7","28629.8","30527.5","32710.8","35902.8","37992.3","41580.8","44750","50579.5","54422.2","57993.8","60595.7","63829.4","72194","74384.4","79344.4","83445.8","90736.5","","","",
"Bulgaria","BGR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73605.7","58826.5","55364.1","55925.2","53724","54882.8","55301.7","52994.6","50477.5","44322","43421.1","46185.6","43599.9","47933.3","47265.7","47985.6","48954.8","52598.7","50039.3","42907.8","44740.6","49637.6","45023.1","39660.7","42054.4","44556.5","41586.7","43884.8","40898.2","39143.1","","","",
"Bahrain","BHR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10737.46","10346.53","12272.25","13066.22","13372.03","13535.88","14154.98","14415.78","15488.92","15450.88","15876.5","16386.32","17221.48","17944.11","17927.3","20693.7","22485.4","23001","24762.2","24717.1","25965.7","26017.6","27174.2","28853","30282.7","30579.7","30304.6","30518.4","30809.5","33256.7","","","",
"Bahamas, The","BHS","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1964.8","2036.7","2566.1","2093.2","2066.1","2201.1","2068.7","1865.3","2355.4","2322.3","2225.1","2219.9","2401.5","2380.2","2253.9","2109.5","2101.1","2118.1","2202.3","6165","2083.8","2571.9","3548.6","2809.1","2522.3","2210.5","2044.3","2175","2802.5","2836.1","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23965.6","21441","15966.67","13403.99","3162.67","3369.47","4188.03","8493","10760.7","10516.1","13955.1","13763.7","14556","14871.4","15571.7","16225.4","17910.2","18888.5","20761.2","20589.7","20842.5","23738.2","21960.2","21847.8","19493.7","19615.5","22341.1","22676","22600.1","21066.9","","","",
